Question,A,B,C,D,Answer,Qtype
PIOUS,Pure,Pretentious,Clean,Devout,D,synonyms
NEUTRAL,Unbiased,Non-aligned,Undecided,Indifferent,A,synonyms
SHALLOW,Artificial ,Superficial,Foolish,Worthless,B,synonyms
DIVERSION,Amusement,Distortion,Deviation,Bylane,C,synonyms
INSOLVENT,Poor,Bankrupt,Penniless,Broke,B,synonyms
INEXPLICABLE,Confusing,Unaccountable,Chaotic,Unconnected,B,synonyms
FEEBLE,Weak,Vain,Arrogant,Sick,A,synonyms
TRANSIENT,Transparent,Fleeting,Feeble,Fanciful,B,synonyms
INEBRIATE,Dreamy,Stupefied,Unsteady,Drunken,D,synonyms
STERILE,Barren,Arid,Childless,Dry,A,synonyms
ABJECT,Challenge,Miserable,Deny,Disobey,B,synonyms
MOVING,Taking,Toying,Shifting,Turning,C,synonyms
IRONIC,Inflexible,Bitter,Good-natured,Disguisedly sarcastic,D,synonyms
TIMID,Fast,Slow,Medium,Shy,D,synonyms
EXTRICATE,Pull,Free,Tie,Complicate,B,synonyms
HESITATED,Stopped,Paused,Slowed,Postponed,B,synonyms
RESCUE,Command,Help,Defence,Safety,B,synonyms
ATTEMPT,Serve,Explore,Try,Explain,C,synonyms
FORAY,Maraud,Contest,Ranger,Intuition,A,synonyms
RECKLESS,Courageous,Rash,Bold,Daring,B,synonyms
CONSEQUENCES,Results,Conclusions,Difficulties,Applications,A,synonyms
IMPROVEMENT,Advancement ,Betterment ,Promotion ,Preference,B,synonyms
WARRIOR,Soldier,Sailor,Pirate,Spy,A,synonyms
DISTANT,Far,Removed,Reserved,Separate,A,synonyms
ADVERSITY ,Failure ,Helplessness,Misfortune ,Crisis,C,synonyms
FAKE,Original,Imitation,Trustworthy,Loyal,B,synonyms
INDICT,Condemn ,Reprimand ,Accuse ,Allege,C,synonyms
STRINGENT,Dry,Strained,Rigorous,Shrill,C,synonyms
LAMENT,Complain,Comment,Condone,Console,A,synonyms
