Question,A,B,C,D,Answer,Qtype
LOQUACIOUS,Reticent,Talkative,Garrulous,Verbose,A,Antonyms
CONFESS,Deny,Refuse,Contest,Contend,A,Antonyms
ANNOY,Praise,Rejoice,Please,Reward,C,Antonyms
REPEL,Attend,Concentrate,Continue,Attract,D,Antonyms
SUPPRESS,Encourage,Allow,Praise,Permit,A,Antonyms
NIGGARDLY,Frugal,Thrifty,Stingy,Generous,D,Antonyms
IMPASSE,Resurgence,Breakthrough,Continuation,Combination,B,Antonyms
HAPHAZARD,Fortuitous,Indifferent,Deliberate,Accidental,C,Antonyms
DENSITY,Rarity,Intelligence,Clarity,Brightness,A,Antonyms
ADHERENT,Detractor,Enemy,Alien,Rival,B,Antonyms
BASE,Climax,Height,Top,Roof,C,Antonyms
PATCHY,Attractive,Uniform,Simple,Clear,B,Antonyms
ENMITY,Important,Unnecessary,Friendship,Likeness,C,Antonyms
HOLLOW,Filled,Solid,Strong,Substantial,B,Antonyms
VALUABLE,Invaluable,Worthless,Inferior,Lowly,B,Antonyms
GULLIBLE,Incredulous,Fickle,Easy,Stylish,A,Antonyms
INDUSTRIOUS,Indifferent,Indolent,Casual,Passive,B,Antonyms
AUTONOMY,Slavery,Subordination,Dependence,Submissiveness,C,Antonyms
ALIEN,Native,Domiciled,Natural,Resident,A,Antonyms
SYNTHETIC,Affable,Natural,Plastic,Cosmetic,B,Antonyms
VANITY,Pride,Humility,Conceit,Ostentatious,B,Antonyms
RARELY,Hardly,Definately,Frequently,Periodically,C,Antonyms
MALICIOUS,Kind,Boastful,Generous,Indifferent,A,Antonyms
EPILOGUE,Dialogue,Prelude,Post script,Epigram,B,Antonyms
CAPACIOUS,Limited,Caring,Foolish,Changeable,A,Antonyms
CONDENSE,Expand,Distribute,Interpret,Lengthen,A,Antonyms
ADAPTABLE,Adoptable,Flexible,Yielding,Rigid,D,Antonyms
BALANCE,Disbalance,Misbalance,Debalance,Imbalance,D,Antonyms
LIABILITY,Property,Assets,Debt,Treasure,B,Antonyms
MOUNTAIN,Plain,Plateau,Precipice,Valley,D,Antonyms
STATIONARY,Active,Mobile,Rapid,Busy,B,Antonyms
SACROSANCT,Irreligious,Unethical,Irreverent,Unholy,D,Antonyms
PROVOCATION,Vocation,Pacification,Peace,Destruction,B,Antonyms
SUBSERVIENT,Aggressive,Straightforward,Dignified,Supercilious,C,Antonyms
LEND,Borrow,Cheat,Pawn,Hire,A,Antonyms
FAINT-HEARTED,Warm-hearted,Full-blooded,Hot-blooded,Stout-hearted,D,Antonyms
REMISS,Forgetful,Watchful,Dutiful,Harmful,C,Antonyms
TRANSPARENT,Semi-transparent,Muddy,Opaque,Dark,C,Antonyms
HONORARY,Dishonorable,Reputed,Paid,Official,C,Antonyms
METICULOUS,Mutual,Shaggy,Meretricious,Slovenly,D,Antonyms
CONCEDE,Object,Refuse,Grant,Accede,B,Antonyms
VIOLENT,Humble,Harmless,Gentle,Tame,C,Antonyms
VIRTUOUS,Wicked,Corrupt,Vicious,Scandalous,A,Antonyms
ABLE,Disable,Inable,Unable,Misable,C,Antonyms
HOSTILITY,Courtesy,Hospitality,Relationship,Friendliness,D,Antonyms
CROWDED,Busy,Congested,Quiet,Deserted,D,Antonyms
COMIC,Emotional,Tragic,Fearful,Painful,B,Antonyms
HAPLESS,Cheerful,Consistent,Fortunate,Shapely,C,Antonyms
FLIMSY,Frail,Filthy,Firm,Flippant,C,Antonyms
EQUANIMITY,Resentment,Dubiousness,Duplicity,Excitement,D,Antonyms
ADDITION,Division,Enumeration,Subtraction,Multiplication,C,Antonyms
GAIN,Loose,Fall,Lost,Lose,D,Antonyms
PRELIMINARY,Final,First,Secondary,Initial,A,Antonyms
DEFIANCE,Anxiety,Obedience,Suspicion,Dismay,B,Antonyms
ENCOURAGE,Dampen,Disapprove,Discourage,Warn,C,Antonyms
LUCID,Glory,Noisy,Obscure,Distinct,C,Antonyms
ARROGANT,Humble,Cowardly,Egotistic,Gentlemanly,A,Antonyms
VICTORIOUS,Defeated,Annexed,Destroyed,Vanquished,A,Antonyms
GRACEFUL,Rough,Expert,Miserable,Awkward,D,Antonyms
NADIR,Modernity,Zenith,Liberty,Progress,B,Antonyms
EVASIVE,Free,Honest,Liberal,Frank,B,Antonyms
GREGARIOUS,Antisocial,Glorious,Horrendous,Similar,A,Antonyms
AWARE,Uncertain,Ignorant,Sure,Doubtful,B,Antonyms
HIRSUTE,Scaly,Bald,Erudite,Quiet,B,Antonyms
SHRINK,Contract,Spoil,Expand,Stretch,C,Antonyms
COMMON,Rare,Small,Petty,Poor,A,Antonyms
COMFORT,Uncomfort,Miscomfort,Discomfort,None Of These,C,Antonyms
DEAR,Priceless,Free,Worthless,Cheap,D,Antonyms
EXTRAVAGANCE,Luxury,Poverty,Economical,Cheapness,C,Antonyms
PERTINENT,Irrational,Irregular,Insistent,Irrelevant,D,Antonyms
OBSCURE,Implicit,Obnoxious,Explicit,Pedantic,C,Antonyms
URBANE,Illiterate,Backward,Discourteous,Orthodox,C,Antonyms
OBEYING,Ordering,Following,Refusing,Contradicting,A,Antonyms
FRAUDULENT,Candid,Direct,Forthright,Genuine,D,Antonyms
FLAGITIOUS,Innocent,Vapid,Ignorant,Frivolous,A,Antonyms
BELITTLE,Criticize,Flatter,Exaggerate,Adore,C,Antonyms
STARTLED,Amused,Relaxed,Endless,Astonished,B,Antonyms
BUSY,Occupied,Engrossed,Relaxed,Engaged,C,Antonyms
FRESH,Faulty,Sluggish,Disgraceful,Stale,D,Antonyms
CULPABLE,Defendable,Blameless,Careless,Irresponsible,B,Antonyms
